
 ('', 'https://www.python.org/')
 ('', 'https://www.python.org/')
 ('', 'https://harve.com.br/blog/programacao-python-blog/python-para-que-serve-top-5-utilidades/')
 ('', 'https://www.lewagon.com/pt-BR/blog/guia-aprender-programar-python')
 ('', 'https://pt.wikihow.com/Come%C3%A7ar-a-Programar-em-Python')
 ('', 'https://2019.pythonbrasil.org.br/')
 ('', 'https://python.org.br/')
 ('› wiki › Python', 'https://pt.wikipedia.org/wiki/Python')
 ('› Guias › Python', 'https://www.devmedia.com.br/guia/python/37024')
 ('› Aplicativos e Software', 'https://tecnoblog.net/405640/o-que-e-python-guia-para-iniciantes/')
 ('› Programação', 'https://www.alura.com.br/cursos-online-programacao/python')
 ('› python', 'https://blog.betrybe.com/python/')
 ('› watch', 'https://www.youtube.com/watch?v=Mp0vhMDI7fA')
 ('› cursos › python', 'https://digitalinnovation.one/cursos/python')
 ('› blog › programacao-python-blog', 'https://harve.com.br/blog/programacao-python-blog/python-para-que-serve-top-5-utilidades/')
 ('› python', 'https://hub.docker.com/_/python')
 ('', 'https://2019.pythonbrasil.org.br/')
 ('› Todas as Notícias', 'https://prefeitura.rio/ciencia-e-tecnologia/secretaria-de-ciencia-e-tecnologia-prorroga-inscricoes-para-curso-gratuito-de-python/')
 ('› ... › Python', 'https://www.udemy.com/course/curso-de-programacao-em-python-do-basico-ao-avancado/')
 ('› carreira › python-10-m...', 'https://computerworld.com.br/carreira/python-10-motivos-para-aprender-a-linguagem-em-2019/')
 ('› pt-BR › blog › guia-aprend...', 'https://www.lewagon.com/pt-BR/blog/guia-aprender-programar-python')
 ('› specializations › python', 'https://pt.coursera.org/specializations/python')
 ('› Curso', 'https://www.cursoemvideo.com/course/python-3-mundo-1/')
 ('› cursos › treinamento › python-p...', 'https://4linux.com.br/cursos/treinamento/python-programming-for-sysadmins/')
 ('› Python-Fluente-Program...', 'https://www.amazon.com.br/Python-Fluente-Programa%C3%A7%C3%A3o-Concisa-Eficaz/dp/857522462X')
 ('› python', 'https://www.infoq.com/br/python/')
 ('› modules › intro-to-python', 'https://docs.microsoft.com/pt-br/learn/modules/intro-to-python/')
 ('› learn', 'https://www.codecademy.com/learn/learn-python')
 ('', 'https://pypi.org/')
 ('› pycharm', 'https://www.jetbrains.com/pycharm/')
 ('› learn › p...', 'https://www.kaggle.com/learn/python')
